<TICKER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;21.01.2021;0;509.3500000;512.7000000;495.6500000;498.0000000;9246850
ROSN;22.01.2021;0;494.8000000;495.0000000;485.0000000;494.2500000;8705980
ROSN;25.01.2021;0;494.3500000;502.8000000;485.4000000;495.6000000;7532280
ROSN;26.01.2021;0;493.1000000;498.2500000;488.1000000;493.9500000;4496630
ROSN;27.01.2021;0;495.1000000;497.9000000;480.5500000;481.2500000;9576050
ROSN;28.01.2021;0;479.8000000;485.6500000;475.0000000;483.4000000;6058190
ROSN;29.01.2021;0;480.5500000;482.4500000;472.0000000;473.0000000;5551670
ROSN;01.02.2021;0;475.2000000;478.9000000;469.5000000;478.3500000;6888020
ROSN;02.02.2021;0;481.1500000;488.8000000;479.0000000;482.0000000;10407770
ROSN;03.02.2021;0;487.6500000;494.2000000;482.1500000;489.9500000;7491510
ROSN;04.02.2021;0;490.4000000;497.0500000;484.2000000;489.2000000;7943360
ROSN;05.02.2021;0;492.4500000;496.7500000;490.3500000;493.9500000;7633720
ROSN;08.02.2021;0;496.0500000;503.2500000;496.0500000;501.7500000;7730520
ROSN;09.02.2021;0;503.8000000;505.0000000;492.4000000;494.8000000;6755720
ROSN;10.02.2021;0;497.4500000;498.2500000;489.3500000;491.4500000;5608620
ROSN;11.02.2021;0;490.3500000;501.7000000;488.1500000;496.8000000;6677070
ROSN;12.02.2021;0;496.8000000;509.3500000;488.6000000;509.3500000;11944760
ROSN;15.02.2021;0;513.0000000;522.4500000;508.2000000;521.4500000;8808290
ROSN;16.02.2021;0;522.5000000;529.4000000;520.5000000;525.6000000;8703560
ROSN;17.02.2021;0;524.9000000;528.1500000;505.7000000;515.1500000;11446210
ROSN;18.02.2021;0;514.1500000;517.6500000;505.5000000;506.8500000;9681490
ROSN;19.02.2021;0;505.8000000;515.1500000;504.0000000;512.7500000;7455920
ROSN;20.02.2021;0;512.5000000;514.0000000;509.0500000;513.1500000;909640
ROSN;22.02.2021;0;514.0500000;518.9000000;509.1000000;516.0000000;4532080
ROSN;24.02.2021;0;511.7500000;518.7000000;511.1500000;518.2500000;6755490
ROSN;25.02.2021;0;519.4500000;536.3500000;517.9500000;529.3500000;13381440
ROSN;26.02.2021;0;525.7000000;533.2000000;520.4500000;523.3500000;10083590
ROSN;01.03.2021;0;527.5500000;530.0000000;521.4500000;524.1000000;4862650
ROSN;02.03.2021;0;519.5500000;529.8500000;518.8500000;526.0000000;4799200
ROSN;03.03.2021;0;528.8500000;536.4500000;527.6000000;533.8000000;5959660
ROSN;04.03.2021;0;535.2000000;549.7000000;533.2000000;540.1000000;12456910
ROSN;05.03.2021;0;543.0000000;561.9500000;541.5500000;561.0000000;13674760
ROSN;09.03.2021;0;558.9500000;581.4500000;556.0000000;570.6000000;14348590
ROSN;10.03.2021;0;568.5500000;573.5000000;557.0000000;561.1500000;9579490
ROSN;11.03.2021;0;563.1500000;572.0000000;563.1000000;572.0000000;9568100
ROSN;12.03.2021;0;572.7500000;574.7000000;566.4000000;572.2500000;5931120
ROSN;15.03.2021;0;573.2000000;580.7500000;572.0000000;576.4000000;9924110
ROSN;16.03.2021;0;574.6500000;577.9500000;559.3000000;571.2000000;17699060
ROSN;17.03.2021;0;571.2000000;574.1000000;551.2500000;555.8500000;15227090
ROSN;18.03.2021;0;556.2000000;559.5000000;541.0000000;544.0500000;12354360
ROSN;19.03.2021;0;542.8000000;560.9500000;541.6000000;560.3000000;9317510
ROSN;22.03.2021;0;558.3500000;566.9000000;555.5500000;562.6500000;7502970
ROSN;23.03.2021;0;560.3000000;573.4500000;556.5500000;565.1000000;8302870
ROSN;24.03.2021;0;566.9500000;577.0000000;564.2500000;568.0500000;7805500
ROSN;25.03.2021;0;568.6000000;574.7000000;566.4500000;574.6500000;6834050
ROSN;26.03.2021;0;576.0500000;585.1500000;575.8500000;582.2000000;10211450
ROSN;29.03.2021;0;579.5000000;584.2500000;572.0000000;575.3000000;8310250
ROSN;30.03.2021;0;576.3000000;579.2000000;565.3000000;570.2500000;6151980
ROSN;31.03.2021;0;571.0000000;574.9500000;567.1000000;572.6000000;9089920
ROSN;01.04.2021;0;574.1000000;576.7500000;561.4000000;568.9000000;11593270
ROSN;02.04.2021;0;568.9000000;569.9000000;565.6000000;566.6500000;1029300
ROSN;05.04.2021;0;567.1000000;567.7500000;557.2500000;560.1500000;3133260
ROSN;06.04.2021;0;562.3000000;563.1500000;545.4500000;547.5500000;5960860
ROSN;07.04.2021;0;547.5000000;555.5500000;543.2500000;551.5000000;6156110
ROSN;08.04.2021;0;549.9000000;554.8000000;545.1500000;549.3000000;4636060
ROSN;09.04.2021;0;547.6500000;548.7000000;536.0500000;538.0000000;6256000
ROSN;12.04.2021;0;535.2000000;541.3500000;532.5000000;540.1500000;6139660
ROSN;13.04.2021;0;541.3000000;552.2500000;534.5500000;551.9500000;4892780
ROSN;14.04.2021;0;556.0500000;556.1000000;546.2500000;552.1000000;5658280
ROSN;15.04.2021;0;548.6000000;562.6000000;545.4000000;556.5000000;6284300
ROSN;16.04.2021;0;560.0500000;561.4000000;549.2000000;555.0500000;4001960
ROSN;19.04.2021;0;552.0500000;554.7000000;546.0500000;548.0500000;3363600
ROSN;20.04.2021;0;549.9000000;553.9000000;537.5000000;541.0500000;5466560
ROSN;21.04.2021;0;540.8000000;547.3500000;538.6500000;545.7000000;2814680
ROSN;22.04.2021;0;546.2500000;546.9000000;536.6000000;541.6000000;5871040
ROSN;23.04.2021;0;543.0000000;544.8000000;533.9500000;538.5000000;5056970
ROSN;26.04.2021;0;537.8500000;537.8500000;527.5000000;530.6000000;5746610
ROSN;27.04.2021;0;531.0500000;533.7000000;524.5000000;528.0000000;4247670
ROSN;28.04.2021;0;529.0000000;529.7500000;522.1000000;527.9500000;4575220
ROSN;29.04.2021;0;530.0000000;536.1000000;526.0500000;528.7500000;6331160
ROSN;30.04.2021;0;527.6500000;529.7000000;521.5500000;525.2000000;5133150
ROSN;04.05.2021;0;526.7000000;538.1500000;526.3000000;537.1500000;5102830
ROSN;05.05.2021;0;540.0000000;546.8000000;537.0500000;538.6500000;6084410
ROSN;06.05.2021;0;540.6000000;542.8000000;534.2000000;538.5500000;4533640
ROSN;07.05.2021;0;540.0000000;541.6500000;533.2500000;536.2000000;3166660
ROSN;10.05.2021;0;537.2000000;547.5000000;533.5500000;541.9500000;5096230
ROSN;11.05.2021;0;539.9000000;541.6000000;528.6000000;532.0000000;5230870
ROSN;12.05.2021;0;532.8000000;551.3000000;529.8500000;542.2000000;8515340
ROSN;13.05.2021;0;541.0000000;552.0000000;539.5000000;550.0000000;6446300
ROSN;14.05.2021;0;552.0000000;553.7000000;541.2000000;545.6500000;4089830
ROSN;17.05.2021;0;545.8500000;546.1000000;535.9000000;545.5500000;3852360
ROSN;18.05.2021;0;546.3500000;551.0000000;538.3500000;540.4500000;5971840
ROSN;19.05.2021;0;539.6000000;539.6000000;526.3500000;529.5000000;4943050
ROSN;20.05.2021;0;529.5500000;529.8500000;514.3000000;517.3500000;6585010
ROSN;21.05.2021;0;516.8000000;528.5500000;515.3000000;525.5500000;5372140
ROSN;24.05.2021;0;526.8500000;531.4000000;519.3000000;523.9500000;3162900
ROSN;25.05.2021;0;525.1500000;530.4500000;523.2000000;524.3500000;3535020
ROSN;26.05.2021;0;526.3000000;532.2000000;522.2000000;525.8500000;3743550
ROSN;27.05.2021;0;523.0000000;525.2000000;519.8000000;525.2000000;4313580
ROSN;28.05.2021;0;523.1500000;525.6000000;521.0000000;523.3500000;2860970
ROSN;31.05.2021;0;525.9000000;531.6500000;524.0000000;531.4000000;2560760
ROSN;01.06.2021;0;535.2500000;547.6500000;533.8500000;544.0000000;9934530
ROSN;02.06.2021;0;545.0000000;552.4500000;541.6000000;552.0000000;8902240
ROSN;03.06.2021;0;555.4500000;561.9000000;540.1000000;559.4500000;15161240
ROSN;04.06.2021;0;560.4000000;563.2500000;554.0500000;556.4500000;8560250
ROSN;07.06.2021;0;554.2000000;557.5000000;547.9000000;551.5500000;7101600
ROSN;08.06.2021;0;550.9000000;552.2500000;544.6000000;550.2500000;8276560
ROSN;09.06.2021;0;552.6500000;553.4000000;546.0000000;548.2500000;7296010
ROSN;10.06.2021;0;548.2000000;551.7000000;535.6500000;539.6000000;13978250
ROSN;11.06.2021;0;539.9000000;542.1000000;530.2000000;535.4500000;8147670
ROSN;14.06.2021;0;531.5500000;541.8500000;530.7000000;537.6000000;4248740
ROSN;15.06.2021;0;538.5500000;542.0000000;532.3500000;536.0500000;5533100
ROSN;16.06.2021;0;537.6500000;545.7500000;536.4500000;541.2500000;6749360
ROSN;17.06.2021;0;539.9000000;543.8500000;534.0000000;537.0000000;15039020
ROSN;18.06.2021;0;537.0000000;543.4000000;526.7500000;541.0000000;11471730
ROSN;21.06.2021;0;541.3500000;542.8000000;534.2500000;541.2000000;5184600
ROSN;22.06.2021;0;543.0500000;553.2000000;542.0500000;551.8500000;7529540
ROSN;23.06.2021;0;553.3500000;571.4000000;553.3500000;570.4500000;19196290
ROSN;24.06.2021;0;570.4500000;572.9000000;565.0500000;565.9500000;15281830
ROSN;25.06.2021;0;566.0000000;566.4000000;560.6500000;564.7000000;3781620
ROSN;28.06.2021;0;564.6500000;564.9500000;553.0500000;555.0000000;7221370
ROSN;29.06.2021;0;554.5000000;558.7500000;548.0000000;553.0500000;5988960
ROSN;30.06.2021;0;554.9000000;571.8000000;551.7000000;571.2000000;14688620
ROSN;01.07.2021;0;570.0000000;586.9500000;569.6500000;581.4500000;34217710
ROSN;02.07.2021;0;580.2000000;585.9000000;562.8500000;567.0000000;13336120
ROSN;05.07.2021;0;567.9000000;569.9000000;561.0000000;567.5000000;3911250
ROSN;06.07.2021;0;570.0500000;580.5500000;565.3500000;571.0000000;20636520
ROSN;07.07.2021;0;571.7500000;583.0000000;570.0000000;580.2500000;14458720
ROSN;08.07.2021;0;578.9500000;582.0000000;572.6500000;581.1000000;13944140
ROSN;09.07.2021;0;581.2500000;586.7500000;574.1000000;577.8500000;16852780
ROSN;12.07.2021;0;577.4000000;579.4000000;570.5000000;579.0000000;4516390
ROSN;13.07.2021;0;578.6000000;584.1000000;573.0000000;576.0000000;7697530
ROSN;14.07.2021;0;575.6000000;582.9500000;568.8000000;569.0000000;15586430
ROSN;15.07.2021;0;567.0000000;568.0000000;556.3000000;562.5000000;6006040
ROSN;16.07.2021;0;560.6000000;570.4000000;556.8500000;563.4500000;4373550
ROSN;19.07.2021;0;558.0000000;559.4000000;543.2500000;543.9000000;8424760
ROSN;20.07.2021;0;547.5500000;550.6000000;536.7000000;547.5000000;5138390
ROSN;21.07.2021;0;547.0000000;553.1000000;543.2000000;551.9000000;3752310
ROSN;22.07.2021;0;552.8000000;556.2500000;549.3500000;553.6500000;3432430
ROSN;23.07.2021;0;554.8000000;556.0000000;545.2000000;548.8500000;2498220
ROSN;26.07.2021;0;545.8500000;552.9000000;540.2000000;552.7000000;3110830
ROSN;27.07.2021;0;551.5000000;553.9000000;547.1500000;551.2000000;1967990
ROSN;28.07.2021;0;551.0000000;555.7000000;550.5000000;554.2500000;2444670
ROSN;29.07.2021;0;555.7000000;558.1000000;550.7500000;554.0000000;3634170
ROSN;30.07.2021;0;552.4000000;554.8000000;539.5500000;544.5000000;5236850
ROSN;02.08.2021;0;545.0500000;550.8000000;541.2500000;548.8500000;5232950
ROSN;03.08.2021;0;547.7000000;551.0000000;542.2000000;551.0000000;3432600
ROSN;04.08.2021;0;551.6500000;553.2000000;542.8000000;543.5000000;4380870
ROSN;05.08.2021;0;542.8500000;548.7000000;538.1500000;548.0000000;5503520
ROSN;06.08.2021;0;548.9500000;552.4000000;544.0500000;544.9000000;4442130
ROSN;09.08.2021;0;539.6000000;548.0000000;535.2500000;545.0000000;7267800
ROSN;10.08.2021;0;547.6000000;564.1000000;547.0000000;562.5500000;7887670
ROSN;11.08.2021;0;564.0500000;568.4000000;558.8500000;561.8000000;4532310
ROSN;12.08.2021;0;561.4500000;567.8500000;557.2000000;565.9000000;5487290
ROSN;13.08.2021;0;565.4000000;568.7000000;555.0000000;558.5500000;4781590
ROSN;16.08.2021;0;556.6000000;567.6500000;551.5000000;564.4000000;15423440
ROSN;17.08.2021;0;562.8500000;563.0000000;552.9000000;555.0000000;9540250
ROSN;18.08.2021;0;557.8000000;559.9000000;542.2500000;546.9500000;8538510
ROSN;19.08.2021;0;543.8500000;547.7500000;531.4500000;537.8000000;11527470
ROSN;20.08.2021;0;538.0000000;538.3500000;530.1000000;534.0000000;3352790
ROSN;23.08.2021;0;538.1500000;545.4500000;536.1000000;544.8500000;3373360
ROSN;24.08.2021;0;545.9000000;549.5500000;539.2500000;545.0000000;5419300
ROSN;25.08.2021;0;544.5000000;545.7500000;536.5500000;538.5000000;4318270
ROSN;26.08.2021;0;538.4500000;538.8500000;531.5000000;531.7000000;3971600
ROSN;27.08.2021;0;533.7500000;538.2000000;533.1000000;537.8000000;3075140
ROSN;30.08.2021;0;539.5500000;540.9500000;536.3500000;539.3000000;2549170
ROSN;31.08.2021;0;540.0000000;540.4000000;531.5500000;533.6000000;5183626
ROSN;01.09.2021;0;536.3500000;541.7500000;534.8000000;541.5500000;4941116
ROSN;02.09.2021;0;542.1000000;556.2000000;538.1000000;550.7000000;10439019
ROSN;03.09.2021;0;551.6000000;556.9000000;550.4500000;555.4000000;5482506
ROSN;06.09.2021;0;554.9500000;557.1500000;548.2000000;550.7000000;3360967
ROSN;07.09.2021;0;552.1000000;554.4000000;542.0000000;547.3000000;3480092
ROSN;08.09.2021;0;547.3000000;559.0000000;541.5000000;555.9000000;7043556
ROSN;09.09.2021;0;554.1500000;555.4000000;541.3000000;541.9000000;4384237
