<TICKER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;09.03.2021;0;6198.0000000;6405.0000000;6167.0000000;6305.0000000;1974435
LKOH;10.03.2021;0;6277.0000000;6300.5000000;6084.0000000;6127.5000000;1642730
LKOH;11.03.2021;0;6152.5000000;6339.0000000;6109.5000000;6339.0000000;1523644
LKOH;12.03.2021;0;6313.5000000;6377.0000000;6267.0000000;6356.0000000;947594
LKOH;15.03.2021;0;6382.0000000;6480.0000000;6360.0000000;6472.5000000;1704229
LKOH;16.03.2021;0;6454.5000000;6470.5000000;6314.0000000;6445.0000000;1909495
LKOH;17.03.2021;0;6450.0000000;6475.0000000;6294.0000000;6363.0000000;1609679
LKOH;18.03.2021;0;6369.0000000;6373.5000000;6059.0000000;6083.0000000;2134943
LKOH;19.03.2021;0;6075.0000000;6149.0000000;5960.0000000;6078.0000000;2904138
LKOH;22.03.2021;0;6061.0000000;6167.0000000;5980.0000000;6118.0000000;1217746
LKOH;23.03.2021;0;6085.0000000;6098.0000000;5951.0000000;5961.0000000;1729905
LKOH;24.03.2021;0;5999.0000000;6231.0000000;5976.0000000;6162.5000000;1525656
LKOH;25.03.2021;0;6160.0000000;6195.5000000;6056.0000000;6182.0000000;1160792
LKOH;26.03.2021;0;6200.0000000;6289.0000000;6194.0000000;6283.0000000;1195517
LKOH;29.03.2021;0;6233.0000000;6278.0000000;6174.0000000;6257.5000000;817397
LKOH;30.03.2021;0;6268.0000000;6316.5000000;6125.5000000;6155.0000000;944974
LKOH;31.03.2021;0;6168.0000000;6188.0000000;6097.5000000;6111.5000000;833364
LKOH;01.04.2021;0;6152.5000000;6189.0000000;6015.0000000;6112.0000000;1142711
LKOH;02.04.2021;0;6120.5000000;6137.0000000;6076.5000000;6108.5000000;236045
LKOH;05.04.2021;0;6095.0000000;6095.0000000;5951.0000000;5990.5000000;855330
LKOH;06.04.2021;0;6008.0000000;6024.0000000;5871.5000000;5891.0000000;1171232
LKOH;07.04.2021;0;5892.0000000;6001.0000000;5842.0000000;5978.0000000;1423877
LKOH;08.04.2021;0;5990.0000000;6068.0000000;5945.0000000;6008.5000000;768280
LKOH;09.04.2021;0;6002.0000000;6006.0000000;5867.0000000;5933.0000000;1148032
LKOH;12.04.2021;0;5908.5000000;6037.0000000;5886.5000000;6020.0000000;1267547
LKOH;13.04.2021;0;6004.5000000;6055.0000000;5946.5000000;6044.5000000;750478
LKOH;14.04.2021;0;6081.5000000;6168.5000000;5975.0000000;6134.0000000;1340862
LKOH;15.04.2021;0;6087.0000000;6118.5000000;6017.0000000;6054.5000000;1190659
LKOH;16.04.2021;0;6089.0000000;6104.0000000;6025.0000000;6066.0000000;760492
LKOH;19.04.2021;0;6060.0000000;6087.0000000;5986.0000000;6007.0000000;555404
LKOH;20.04.2021;0;6021.5000000;6061.0000000;5840.0000000;5897.0000000;1449856
LKOH;21.04.2021;0;5880.0000000;5966.5000000;5876.5000000;5946.0000000;850502
LKOH;22.04.2021;0;5945.0000000;6057.0000000;5886.5000000;5999.0000000;1305445
LKOH;23.04.2021;0;6020.0000000;6027.5000000;5931.0000000;5950.0000000;855562
LKOH;26.04.2021;0;5951.0000000;5971.0000000;5892.5000000;5919.0000000;840943
LKOH;27.04.2021;0;5917.0000000;5966.5000000;5870.5000000;5903.5000000;762862
LKOH;28.04.2021;0;5906.0000000;5945.0000000;5844.0000000;5901.0000000;891359
LKOH;29.04.2021;0;5931.0000000;5945.0000000;5875.0000000;5926.0000000;1022280
LKOH;30.04.2021;0;5915.0000000;5945.0000000;5760.0000000;5805.0000000;1379006
LKOH;04.05.2021;0;5815.0000000;5999.0000000;5815.0000000;5991.0000000;1373105
LKOH;05.05.2021;0;6010.5000000;6156.0000000;5985.5000000;6122.0000000;1340797
LKOH;06.05.2021;0;6124.0000000;6185.0000000;6061.0000000;6087.0000000;1015821
LKOH;07.05.2021;0;6103.5000000;6122.5000000;6042.5000000;6088.0000000;726220
LKOH;10.05.2021;0;6097.0000000;6203.0000000;6093.0000000;6118.0000000;1042800
LKOH;11.05.2021;0;6092.0000000;6093.5000000;5948.0000000;6021.0000000;1245809
LKOH;12.05.2021;0;6021.0000000;6205.0000000;6003.5000000;6119.0000000;1424252
